PossessionId,moment_id,OffenseTeamId,game_clock,shot_clock,quarter,game_id,event_id,EventDescription,EventTime,PossessionStartMarginScore,PossessionStartTime_Seconds,PossessionEndTime_Seconds,ball_handler,Player1Id,SHOT_LOC_X,SHOT_LOC_Y,action,SHOT_PLAYER_ID,Points,2pt_shot_percentage_ball_handler,3pt_shot_percentage_ball_handler,2pt_shot_percentage_player1,3pt_shot_percentage_player1,2pt_shot_percentage_shot_player,3pt_shot_percentage_shot_player,Reward,jersey_number_ball_handler,position_ball_handler,jersey_number_player1,position_player1,jersey_number_shot_player,position_shot_player
2,1413,1610612739,688.02,13.23,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.044416666666666695,23,F,23.0,F,,
2,1414,1610612739,687.98,13.18,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.0444722222222222,23,F,23.0,F,,
2,1415,1610612739,687.94,13.14,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.0445277777777777,23,F,23.0,F,,
2,1416,1610612739,687.9,13.1,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.044583333333333364,23,F,23.0,F,,
2,1417,1610612739,687.86,13.06,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04463888888888887,23,F,23.0,F,,
2,1418,1610612739,687.82,13.02,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04469444444444438,23,F,23.0,F,,
2,1419,1610612739,687.78,12.98,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04475000000000004,23,F,23.0,F,,
2,1420,1610612739,687.74,12.94,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04480555555555554,23,F,23.0,F,,
2,1421,1610612739,687.7,12.89,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.044861111111111046,23,F,23.0,F,,
2,1422,1610612739,687.66,12.85,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04491666666666671,23,F,23.0,F,,
2,1423,1610612739,687.62,12.81,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04497222222222222,23,F,23.0,F,,
2,1424,1610612739,687.58,12.77,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04502777777777772,23,F,23.0,F,,
2,1425,1610612739,687.54,12.73,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.045083333333333385,23,F,23.0,F,,
2,1426,1610612739,687.5,12.69,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04513888888888889,23,F,23.0,F,,
2,1427,1610612739,687.46,12.65,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04519444444444439,23,F,23.0,F,,
2,1428,1610612739,687.42,12.6,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.045250000000000054,23,F,23.0,F,,
2,1429,1610612739,687.38,12.56,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.045305555555555564,23,F,23.0,F,,
2,1430,1610612739,687.34,12.52,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04536111111111107,23,F,23.0,F,,
2,1431,1610612739,687.3,12.48,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04541666666666673,23,F,23.0,F,,
2,1432,1610612739,687.26,12.44,1,21500473,4,MISS James 8' Jump Shot,11:24,0,696,684,2544,2544,,,dribble,,0,0.5433255269320844,0.2549019607843137,0.5433255269320844,0.2549019607843137,,,0.04547222222222223,23,F,23.0,F,,
